2018-10-31 16:35:40.819 | INFO  | 33656 | --- [           main] | s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker | Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$fcbf1e16] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-10-31 16:35:41.161 | INFO  | 33656 | --- [           main] | com.alibaba.druid.pool.DruidDataSource                       | {dataSource-1} inited
2018-10-31 16:35:41.721 | INFO  | 33656 | --- [           main] | com.alibaba.druid.pool.DruidDataSource                       | {dataSource-2} inited
2018-10-31 16:35:41.846 | INFO  | 33656 | --- [           main] | com.alibaba.druid.pool.DruidDataSource                       | {dataSource-3} inited
2018-10-31 16:35:42.789 | INFO  | 33656 | --- [           main] | o.s.w.s.mvc.method.annotation.RequestMappingHandlerMapping   | Mapped "{[/vms-cloud/BillCheckService],methods=[POST]}" onto public com.beisun.vmscloud.entity.Outputparam com.beisun.vmscloud.controller.BillCheckController.billCheckService(com.beisun.vmscloud.entity.Inputparam)
2018-10-31 16:35:42.794 | INFO  | 33656 | --- [           main] | o.s.w.s.mvc.method.annotation.RequestMappingHandlerMapping   | Mapped "{[/v2/api-docs],methods=[GET],produces=[application/json || application/hal+json]}" onto public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest)
2018-10-31 16:35:42.799 | INFO  | 33656 | --- [           main] | o.s.w.s.mvc.method.annotation.RequestMappingHandlerMapping   | Mapped "{[/swagger-resources]}" onto org.springframework.http.ResponseEntity<java.util.List<springfox.documentation.swagger.web.SwaggerResource>> springfox.documentation.swagger.web.ApiResourceController.swaggerResources()
2018-10-31 16:35:42.819 | INFO  | 33656 | --- [           main] | o.s.w.s.mvc.method.annotation.RequestMappingHandlerMapping   | Mapped "{[/swagger-resources/configuration/ui]}" onto org.springframework.http.ResponseEntity<springfox.documentation.swagger.web.UiConfiguration> springfox.documentation.swagger.web.ApiResourceController.uiConfiguration()
2018-10-31 16:35:42.822 | INFO  | 33656 | --- [           main] | o.s.w.s.mvc.method.annotation.RequestMappingHandlerMapping   | Mapped "{[/swagger-resources/configuration/security]}" onto org.springframework.http.ResponseEntity<springfox.documentation.swagger.web.SecurityConfiguration> springfox.documentation.swagger.web.ApiResourceController.securityConfiguration()
2018-10-31 16:35:42.829 | INFO  | 33656 | --- [           main] | o.s.w.s.mvc.method.annotation.RequestMappingHandlerMapping   | Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2018-10-31 16:35:42.830 | INFO  | 33656 | --- [           main] | o.s.w.s.mvc.method.annotation.RequestMappingHandlerMapping   | Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018-10-31 16:35:42.892 | INFO  | 33656 | --- [           main] | o.s.w.s.mvc.method.annotation.RequestMappingHandlerMapping   | Mapped "{[/vms-cloud/BillCheckService],methods=[POST]}" onto public com.beisun.vmscloud.entity.Outputparam com.beisun.vmscloud.controller.BillCheckController.billCheckService(com.beisun.vmscloud.entity.Inputparam)
2018-10-31 16:35:42.897 | INFO  | 33656 | --- [           main] | o.s.w.s.mvc.method.annotation.RequestMappingHandlerMapping   | Mapped "{[/v2/api-docs],methods=[GET],produces=[application/json || application/hal+json]}" onto public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest)
2018-10-31 16:35:42.908 | INFO  | 33656 | --- [           main] | o.s.w.s.mvc.method.annotation.RequestMappingHandlerMapping   | Mapped "{[/swagger-resources]}" onto org.springframework.http.ResponseEntity<java.util.List<springfox.documentation.swagger.web.SwaggerResource>> springfox.documentation.swagger.web.ApiResourceController.swaggerResources()
2018-10-31 16:35:42.912 | INFO  | 33656 | --- [           main] | o.s.w.s.mvc.method.annotation.RequestMappingHandlerMapping   | Mapped "{[/swagger-resources/configuration/ui]}" onto org.springframework.http.ResponseEntity<springfox.documentation.swagger.web.UiConfiguration> springfox.documentation.swagger.web.ApiResourceController.uiConfiguration()
2018-10-31 16:35:42.912 | INFO  | 33656 | --- [           main] | o.s.w.s.mvc.method.annotation.RequestMappingHandlerMapping   | Mapped "{[/swagger-resources/configuration/security]}" onto org.springframework.http.ResponseEntity<springfox.documentation.swagger.web.SecurityConfiguration> springfox.documentation.swagger.web.ApiResourceController.securityConfiguration()
2018-10-31 16:35:42.917 | INFO  | 33656 | --- [           main] | o.s.w.s.mvc.method.annotation.RequestMappingHandlerMapping   | Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2018-10-31 16:35:42.917 | INFO  | 33656 | --- [           main] | o.s.w.s.mvc.method.annotation.RequestMappingHandlerMapping   | Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018-10-31 16:35:43.296 | INFO  | 33656 | --- [           main] | com.alibaba.druid.pool.DruidDataSource                       | {dataSource-4} inited
2018-10-31 16:35:43.588 | INFO  | 33656 | --- [           main] | o.s.w.s.mvc.method.annotation.RequestMappingHandlerAdapter   | Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@25bcd0c7: startup date [Wed Oct 31 16:35:37 CST 2018]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@455b6df1
2018-10-31 16:35:43.696 | INFO  | 33656 | --- [           main] | o.s.w.s.mvc.method.annotation.RequestMappingHandlerAdapter   | Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@25bcd0c7: startup date [Wed Oct 31 16:35:37 CST 2018]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@455b6df1
2018-10-31 16:35:44.178 | WARN  | 33656 | --- [           main] | com.netflix.config.sources.URLConfigurationSource            | No URLs will be polled as dynamic configuration sources.
2018-10-31 16:35:44.179 | INFO  | 33656 | --- [           main] | com.netflix.config.sources.URLConfigurationSource            | To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2018-10-31 16:35:44.191 | WARN  | 33656 | --- [           main] | com.netflix.config.sources.URLConfigurationSource            | No URLs will be polled as dynamic configuration sources.
2018-10-31 16:35:44.193 | INFO  | 33656 | --- [           main] | com.netflix.config.sources.URLConfigurationSource            | To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2018-10-31 16:35:44.316 | INFO  | 33656 | --- [           main] | o.s.web.servlet.handler.SimpleUrlHandlerMapping              | Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-10-31 16:35:44.553 | INFO  | 33656 | --- [           main] | o.s.w.s.mvc.method.annotation.RequestMappingHandlerAdapter   | Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@25bcd0c7: startup date [Wed Oct 31 16:35:37 CST 2018]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@455b6df1
2018-10-31 16:35:44.606 | INFO  | 33656 | --- [           main] | o.s.web.servlet.handler.SimpleUrlHandlerMapping              | Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-10-31 16:35:44.606 | INFO  | 33656 | --- [           main] | o.s.web.servlet.handler.SimpleUrlHandlerMapping              | Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-10-31 16:35:47.294 | INFO  | 33656 | --- [           main] | org.springframework.cloud.commons.util.InetUtils             | Cannot determine local hostname
2018-10-31 16:35:49.742 | INFO  | 33656 | --- [           main] | org.springframework.cloud.commons.util.InetUtils             | Cannot determine local hostname
2018-10-31 16:35:50.175 | INFO  | 33656 | --- [           main] | o.springframework.context.support.DefaultLifecycleProcessor  | Starting beans in phase 0
2018-10-31 16:35:50.202 | INFO  | 33656 | --- [           main] | o.springframework.context.support.DefaultLifecycleProcessor  | Starting beans in phase 2147483647
2018-10-31 16:35:50.203 | INFO  | 33656 | --- [           main] | s.d.spring.web.plugins.DocumentationPluginsBootstrapper      | Context refreshed
2018-10-31 16:35:50.286 | INFO  | 33656 | --- [           main] | s.d.spring.web.plugins.DocumentationPluginsBootstrapper      | Found 1 custom documentation plugin(s)
2018-10-31 16:35:50.352 | INFO  | 33656 | --- [           main] | s.d.spring.web.scanners.ApiListingReferenceScanner           | Scanning for api listing references
2018-10-31 16:35:50.686 | INFO  | 33656 | --- [           main] | s.d.s.web.readers.operation.CachingOperationNameGenerator    | Generating unique operation named: billCheckServiceUsingPOST_1
2018-10-31 16:35:50.748 | INFO  | 33656 | --- [           main] | com.beisun.vmscloud.VmsJhkServiceApplicationTests            | Started VmsJhkServiceApplicationTests in 18.416 seconds (JVM running for 19.986)
2018-10-31 16:35:51.023 | INFO  | 33656 | --- [       Thread-5] | o.s.web.context.support.GenericWebApplicationContext         | Closing org.springframework.web.context.support.GenericWebApplicationContext@25bcd0c7: startup date [Wed Oct 31 16:35:37 CST 2018]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@455b6df1
2018-10-31 16:35:51.043 | INFO  | 33656 | --- [       Thread-5] | o.springframework.cloud.netflix.eureka.InstanceInfoFactory   | Setting initial instance status as: STARTING
2018-10-31 16:35:51.048 | INFO  | 33656 | --- [       Thread-5] | o.s.c.netflix.eureka.serviceregistry.EurekaServiceRegistry   | Unregistering application vms-jhk-service with eureka with status DOWN
2018-10-31 16:35:51.053 | INFO  | 33656 | --- [       Thread-5] | o.springframework.context.support.DefaultLifecycleProcessor  | Stopping beans in phase 2147483647
2018-10-31 16:35:51.054 | INFO  | 33656 | --- [       Thread-5] | o.springframework.context.support.DefaultLifecycleProcessor  | Stopping beans in phase 0
2018-10-31 16:35:51.066 | INFO  | 33656 | --- [       Thread-5] | com.alibaba.druid.pool.DruidDataSource                       | {dataSource-4} closed
2018-10-31 16:35:51.070 | INFO  | 33656 | --- [       Thread-5] | com.alibaba.druid.pool.DruidDataSource                       | {dataSource-3} closed
2018-10-31 16:35:51.074 | INFO  | 33656 | --- [       Thread-5] | com.alibaba.druid.pool.DruidDataSource                       | {dataSource-2} closed
2018-10-31 16:35:51.074 | INFO  | 33656 | --- [       Thread-5] | com.alibaba.druid.pool.DruidDataSource                       | {dataSource-1} closed
